Team,Opponent,Ground,Toss,Selection,Run_Scored,Wicket_Lost,Fours,Sixes,Extras,Run_Rate,Avg_Bat_Strike_Rate,Maximum_Partnership,Wicket_Taken,Highest_Individual_wicket,Result
Bangladesh,Sri Lanka,Lahore,Win,Bowling,226,7,13,2,20,4.52,60.82,44,9,3,Lose
Sri Lanka,Bangladesh,Lahore,Lose,Batting,357,9,36,5,22,7.14,97.7,101,7,2,Win
Hong Kong,India,Karachi,Lose,Bowling,118,10,17,0,9,3.2,40.44,25,4,2,Lose
India,Hong Kong,Karachi,Win,Batting,374,4,33,14,9,7.48,123.06,109,10,4,Win
Pakistan,India,Karachi,Win,Batting,299,4,33,1,7,5.98,123.3,125,4,2,Lose
India,Pakistan,Karachi,Lose,Bowling,301,4,25,12,15,7.13,85.13,119,4,1,Win
Sri Lanka,UAE,Lahore,Win,Batting,290,9,22,0,19,5.8,80.53,67,10,5,Win
UAE,Sri Lanka,Lahore,Lose,Bowling,148,10,16,0,9,4.05,42.01,77,9,3,Lose
Bangladesh,India,Karachi,Win,Batting,283,6,27,6,14,5.66,71.07,115,3,2,Lose
India,Bangladesh,Karachi,Lose,Bowling,284,3,25,6,18,6.55,86.45,116,6,2,Win
Pakistan,Sri Lanka,Karachi,Win,Bowling,238,9,17,4,3,4.76,62.63,76,7,5,Lose
Sri Lanka,Pakistan,Karachi,Lose,Batting,302,7,26,4,23,6.04,93.22,112,9,4,Win
Bangladesh,Sri Lanka,Karachi,Lose,Bowling,174,10,20,1,14,4.51,55.06,52,8,2,Lose
Sri Lanka,Bangladesh,Karachi,Win,Batting,332,8,36,8,10,6.64,96.79,130,10,5,Win
Pakistan,India,Karachi,Lose,Bowling,309,2,35,2,6,6.79,137.17,123,7,3,Win
India,Pakistan,Karachi,Win,Batting,308,7,26,3,13,6.16,89.22,76,2,1,Lose
India,Sri Lanka,Karachi,Lose,Bowling,310,4,30,3,21,6.61,103.26,68,8,2,Win
Sri Lanka,India,Karachi,Win,Batting,308,8,30,3,15,6.16,107.2,75,4,2,Lose
Pakistan,Bangladesh,Karachi,Lose,Bowling,116,0,14,2,8,5.89,91.59,56,10,3,Win
Bangladesh,Pakistan,Karachi,Win,Batting,115,10,8,2,16,3,38.31,26,0,0,Lose
India,Sri Lanka,Karachi,Win,Bowling,173,10,23,0,3,4.37,50.41,60,10,3,Lose
Sri Lanka,India,Karachi,Lose,Batting,273,10,21,5,9,5.47,82.77,125,10,6,Win
Sri Lanka,Pakistan,Dambulla,Win,Batting,242,9,17,1,11,4.84,73.73,55,10,5,Win
Pakistan,Sri Lanka,Dambulla,Lose,Bowling,226,10,12,7,15,4.8,48.35,109,9,3,Lose
Bangladesh,India,Dambulla,Win,Batting,167,10,15,1,21,4.79,61.7,37,4,2,Lose
India,Bangladesh,Dambulla,Lose,Bowling,168,4,11,1,25,5.47,65.7,82,10,4,Win
Sri Lanka,Bangladesh,Dambulla,Win,Batting,312,4,28,5,13,6.24,106.19,71,10,3,Win
Bangladesh,Sri Lanka,Dambulla,Lose,Bowling,186,10,17,1,18,4.61,56.09,51,4,2,Lose
India,Pakistan,Dambulla,Lose,Bowling,271,7,14,6,24,5.43,92.55,83,10,3,Win
Pakistan,India,Dambulla,Win,Batting,267,10,20,4,11,5.39,70.7,74,7,3,Lose
Bangladesh,Pakistan,Dambulla,Lose,Bowling,246,5,18,2,12,4.92,67.64,97,7,3,Lose
Pakistan,Bangladesh,Dambulla,Win,Batting,385,7,41,10,11,7.7,129.98,124,5,1,Win
Sri Lanka,India,Dambulla,Win,Bowling,211,3,25,2,16,5.62,90.14,73,10,5,Win
India,Sri Lanka,Dambulla,Lose,Batting,209,10,23,1,6,4.91,45.94,69,3,2,Lose
Sri Lanka,India,Dambulla,Lose,Bowling,187,10,16,1,18,4.18,53.4,55,6,2,Lose
India,Sri Lanka,Dambulla,Win,Batting,268,6,24,1,19,5.36,87,66,10,4,Win
Bangladesh,Pakistan,Mirpur,Win,Bowling,241,10,20,3,7,5,55.13,64,8,3,Lose
Pakistan,Bangladesh,Mirpur,Lose,Batting,262,8,21,2,8,5.24,95.87,89,10,3,Win
India,Sri Lanka,Mirpur,Lose,Batting,304,3,24,2,14,6.08,111.94,108,10,4,Win
Sri Lanka,India,Mirpur,Win,Bowling,254,10,20,5,8,5.62,73.82,78,3,2,Lose
Pakistan,Sri Lanka,Mirpur,Lose,Bowling,189,4,21,3,5,4.74,64.33,77,10,4,Win
Sri Lanka,Pakistan,Mirpur,Win,Batting,188,10,14,1,9,4.11,42.65,71,4,2,Lose
Bangladesh,India,Mirpur,Win,Bowling,293,5,24,6,12,5.93,116.73,70,5,2,Win
